ST_PUMA,ST_CO_PUMA
3705200,3705200
3705301,3705390
3705401,3705390
3800100,3800100
3800200,3800200
3800300,3800300
3800400,3800400
3800500,3800500
3800600,3800600
3900100,3900100
3900200,3900200
3900301,3900390
3900302,3900390
3900303,3900390
3900401,3900390
3900500,3900500
3900601,3900600
3900602,3900600
3900701,3900700
3900702,3900700
3900703,3900700
3900704,3900700
3900705,3900700
3900706,3900700
3900707,3900700
3900708,3900700
3900709,3900700
3900710,3900700
3900801,3900800
3900802,3900800
3900900,3900900
3901001,3901004
3901002,3901004
3901003,3901004
3901100,3901100
3901201,3901200
3901202,3901200
3901203,3901200
3901204,3901200
3901300,3901300
3901400,3901400
3901500,3901500
3901600,3901600
3901700,3901700
3901800,3901800
3901900,3901900
3902000,3902000
3902100,3902100
3902200,3902200
3902300,3902300
3902400,3902400
3902500,3902500
3902600,3902600
3902701,3902704
3902702,3902704
3902703,3902704
3902800,3902800
3902900,3902900
3903000,3903000
3903100,3903100
3903200,3903200
3903301,3903300
3903302,3903300
3903401,3903400
3903402,3903400
3903403,3903400
3903404,3903400
3903405,3903400
